Name	Latitude	Longitude
Morocco	28.5	-10
Israel	31.5	34.75
Gaza	31.50161	34.46672
Rabat	34.01325	-6.83255
United States	39.76	-98.5
the United Arab Emirates	45.16002	-121.16778
UAE	12.26667	-14.7
Bahrain	26.03333	50.55
Sudan	16	30
US	49.1	1.96667
Western Sahara	10.01211	105.83224
Washington	47.50012	-120.50147
Tel Aviv	32.08088	34.78057
Algeria	28	3
Marrakesh	31.63416	-7.99994
the Western Sahara	-33.21645	146.45597
Morocco’s	NA	NA
Maghreb	30	5
Ukraine	49	32
Saudi Arabia	25	45
California	37.25022	-119.75126
West Bank	19.38197	-81.39281
Dena	28.44289	90.28327
Israel’s	NA	NA
Oakland	37.80437	-122.2708
the United States	34.31336	-79.63717
South Africa	26.5	-81
Jordan	31	36
Jerusalem	31.76904	35.21633
East Jerusalem	31.78336	35.23388
Egypt	27	30
Qatar	25.5	51.25
Kuala Lumpur	3.1412	101.68653
Malaysia	2.5	112.5
Palestine	31.92157	35.20329
Indonesia’s	NA	NA
Jakarta	-6.21462	106.84513
Johannesburg	-26.20227	28.04363
London	51.50853	-0.12574
Paris	48.85341	2.3488
Vienna	48.20849	16.37208
Berlin	52.52437	13.41053
Amman	31.95522	35.94503
Washington DC	47.50012	-120.50147
UK	54.75844	-2.69531
Manchester	42.99564	-71.45479
Yemen	15.5	47.5
Washington, DC	38.89511	-77.03637
India	22	79
Hyderabad	17.38405	78.45636
Colombo’s Kollupitiya	NA	NA
Namibia	-22	17
Germany	51.5	10.5
Palestinian Territories	31.92157	35.20329
Sweden	62	15
Iran	32	53
Kerman	30.28321	57.07879
Lebanon	33.83333	35.83333
Bethlehem	40.62593	-75.37046
Nairoukh	NA	NA
China	35	105
Italy	42.83333	12.83333
Spain	40	-4
Turkey	39	35
Shawawra	NA	NA
The Hague	52.07667	4.29861
South Africa’s	26.5	-81
the Gaza Strip	-26.25	28
Khan Younis	31.34018	34.30627
Syria	35	38
Mazzeh	NA	NA
Damascus	33.5102	36.29128
U.S.	39.76	-98.5
Houthis’	NA	NA
the Red Sea	-20.03085	45.695
the Bab-el-Mandeb Strait	31.24938	-97.53052
the Gulf of Aden	-33.21645	146.45597
Sanaa	15.35472	44.20667
the United Kingdom	57.27694	-133.65278
Hodeidah	14.79781	42.95452
Taiz	13.57952	44.02091
Dhamar	14.54274	44.40514
al-Bayda	13.98523	45.57272
Saada	16.94021	43.76393
the Arabian Sea	57.05838	-3.7259
the Bab al-Mandeb Strait	31.24938	-97.53052
Asia	29.84064	89.29688
Europe	48.69096	9.14062
Kuwait	29.5	47.75
Middle East	33.13906	35.85869
Ankara	39.91987	32.85427
Red Sea	52.26682	-113.802
United Kingdom	54.75844	-2.69531
West	42.77268	-116.9579
Tehran	35.69439	51.42151
the Middle East	-10.42172	105.67912
South Carolina	34.00043	-81.00009
New York City	40.71427	-74.00597
Gaza’s	NA	NA
Gaza City	31.50161	34.46672
Rafah	31.29722	34.24357
Gaza Strip	31.50161	34.46672
Strip	-27.51667	27.05
Istanbul	41.01384	28.94966
Greece	39	22
Crete	35.15585	24.89502
Washington’s	NA	NA
Sweden's	62	15
Iraq	33	44
Gulf	-7.7246	145.08545
al-Dabshah	18.05	30.95
Khirbet Selm	33.22931	35.42407
Bint Jbeil	33.11944	35.43333
Beirut	33.89332	35.50157
Ibil El Saqi	33.35667	35.62639
al-Tawil’s	13.41667	34.63333
al-Khader	25.68389	51.50583
the Bekaa Valley	18.21704	-63.05783
the Litani River	18.25706	-78.14275
Netherlands	52.25	5.75
Malta	35.91667	14.43333
the Gulf of Oman	40.11286	-74.047
Davos	46.80429	9.83723
Switzerland	47.00016	8.01427
Deir el-Balah	31.41834	34.34933
Maghazi	31.42234	34.38501
Nuseirat	31.44861	34.3925
Manchester City	42.99564	-71.45479
Barcelona	41.38879	2.15899
Bab el-Mandeb strait	12.60416	43.33557
Djibouti	11.83333	42.5
Southern Red Sea	21.28937	78.66211
Africa’s Cape of Good Hope	42.3601	-71.06588
al-Shifa	22.97478	54.19517
The United States	34.31336	-79.63717
Gretna	41.14083	-96.23974
Louisiana	31.00047	-92.0004
New Orleans	29.95465	-90.07507
the West Bank	-10.42172	105.67912
@MirandaCleland	NA	NA
France	46	2
the Strip	-34.43943	143.14742
@majedalansari	NA	NA
Kan	12.00012	8.51672
al-Mawasi district	36.33271	43.10555
Mediterranean	35.78	19.33
Africa	7.1881	21.09375
Jenin	32.45943	35.30086
Thameen Darby	NA	NA
the Nakba Layer	34.31336	-79.63717
Russia	60	100
Canada	60.10867	-113.64258
Mercator	NA	NA
Alaska	64.00028	-150.00028
Mexico	23	-102
South America	-14.60485	-57.65625
the Asia-Pacific	51.50828	-0.1652
Golan Heights	32.90485	35.80725
The Golan Heights	40.11286	-74.047
Crimea	45	34
the South China Sea	-62.20001	-58.96109
South China Sea	51.53782	0.71433
Philippines	13.40882	122.56155
Vietnam	16.16667	107.83333
Pakistan	30	70
Kashmir	30.33315	63.19089
New Delhi	28.62137	77.2148
Islamabad	33.72148	73.04329
Darby’s Nakba	NA	NA
the State of Israel	-62.20001	-58.96109
Hebron	31.52935	35.0938
Lama Khater	9.55111	1.18611
Kiryat Arba	33.20733	35.57212
Bureij	31.43944	34.40306
al-Mahatta	26.22787	50.58565
Belgium	50.75	4.5
al-Mazra’a	26.22787	50.58565
the Mediterranean Sea	-20.5493	130.3472
Ajaq	35.64005	48.84628
Silwad	31.97625	35.2613
Cairo	30.06263	31.24967
Yemen’s	NA	NA
Australia	-25	135
Denmark	56	10
New Zealand	-42	174
South Korea	36.5	127.75
Norway	62	10
Hamas’s	NA	NA
Yaroun	33.08028	35.4225
Lebanon’s Nabatieh	NA	NA
Yir’on	NA	NA
Avivim	33.08892	35.47228
Israel’s Goren	NA	NA
Shatila	42.65879	45.15632
Dahiyeh	NA	NA
DC	38.91706	-77.00025
Doha	25.28545	51.53096
Lisbon	38.71667	-9.13333
Portugal	39.6945	-8.13057
Walla	-2.85662	33.32102
Somalia	6	48
Yemen’s Red Sea	43.22368	-76.73856
Gulf of Aden	12	48
Yemen’s coast	NA	NA
Lebanon’s	NA	NA
Seychelles	-4.58333	55.66667
Bab al-Mandeb strait	12.60416	43.33557
North Africa	32.95337	9.97559
Marib	15.6213	46.0111
the Gaza strip	-26.25	28
Gaza Strip’s	31.41667	34.33333
Khreis’s	NA	NA
Northern Gaza	54.77535	-105.64453
Hong Kong	22.27832	114.17469
the State of Palestine	37.00724	-75.98329
Bolivia	-17	-65
Bangladesh	24	90
Comoros	-12.23333	44.44553
The United Kingdom	57.27694	-133.65278
Myanmar	21	96
north📍#Gaza	NA	NA
Erbil	36.19117	44.00943
Pakistan’s Balochistan province	41.22825	33.15674
Iran’s Sistan-Baluchestan province	NA	NA
Iran’s	NA	NA
Afghanistan	33	66
Rask	29.49114	57.18543
Sistan-Baluchestan	28.5	60.5
the Strait of Hormuz	-20.5493	130.3472
the Persian Gulf	27	51
Balochistan	28.47849	65.64355
the Red Sea.	-20.03085	45.695
La France	45.20507	5.74629
WestBank	49.83521	-119.62532
Entebbe	0.05621	32.47949
Uganda	1.25	32.5
Montreal	45.50884	-73.58781
Milton, Ontario	43.51681	-79.88294
Jabalia	31.5272	34.48347
Ottawa	45.41117	-75.69812
Toronto	43.70643	-79.39864
Calgary	51.05011	-114.08529
New York	40.71427	-74.00597
Belarus	53	28
Munich	48.13743	11.57549
Haifa	32.81841	34.9885
Sidon	33.55751	35.37148
Salameh’s	NA	NA
Beirut’s	NA	NA
Gaza’s Deir el-Balah	22.59767	-12.56362
al-Mughraqa	30	5
al-Maghazi	30	5
Maghazi Roads	43.84258	-68.88115
Deir al-Balah	31.41834	34.34933
the Islamic Republic	42.72	-71.1925
Nur Shams	51.1801	71.44598
Tulkarem	32.31156	35.0269
Naqoura	33.11806	35.13972
America	26.0173	-104.41406
France’s	NA	NA
El Arish	31.13159	33.79844
Al Jazeera’s	14.6	33.35
al-Mawasi	23.261	57.54
Beirut’s Shatila	NA	NA
Al-Fukhari	31.29278	34.33061
Zeitoun	34.06222	35.68528
al-Fukhari	31.29278	34.33061
Britain	54	-2
the Republic of Yemen	38.889	-77.00525
Hajjah	15.69425	43.60582
Ramallah	31.89964	35.20422
Abwein	32.03144	35.19992
Nablus	32.22111	35.25444
Qalqilya	32.18583	35.06583
Jericho	31.86667	35.45
Ein al-Hilweh	33.54167	35.37778
Basel	47.55839	7.57327
Ofer	32.62257	34.98302
the Jordan Valley	34.31336	-79.63717
Area C	-25.55132	-54.61622
Kadri’s	NA	NA
al-Jiftlik	32.1407	35.48738
Farsiya	35.95584	42.96643
Makhoul	33.40788	37.3558
Tubas	32.32091	35.36989
Areas A	-16.39889	-71.535
Japan	35.68536	139.75309
Silicon Valley	37.37	-122.04
Netanyahu’s	NA	NA
West Jerusalem	31.78199	35.21961
Brussels	50.85045	4.34878
the League of Arab States	45.16002	-121.16778
West Beirut	51.48653	-0.40583
Beirut’s Hamra	32.49724	20.79427
Hamra’s	NA	NA
Hamra	31.81088	-8.27151
West Beirutis	19.38333	-71.21667
Dabbouch	NA	NA
East Beirut	37.02332	-77.36954
Austria	47.33333	13.33333
Finland	64	26
Iceland	65	-18
Romania	46	25
Melbourne, Australia	-37.814	144.96332
Melbourne	-37.814	144.96332
Sandridge Beach	-37.83931	144.91747
the ZIM Ganges	57.27694	-133.65278
Australia’s	NA	NA
Sydney	-33.86785	151.20732
Brisbane	-27.46794	153.02809
Rawaa’s	NA	NA
the Middle East Eye	-25.58333	20.38333
the Near East	-10.42172	105.67912
Kyiv	50.45466	30.5238
Houthi	NA	NA
Aqaba	29.52667	35.00778
the Marshall Islands	-20.03085	45.695
Aden	12.77944	45.03667
Bab al-Mandeb Strait	12.60416	43.33557
Sabra	34.83042	-1.547
Farhana	NA	NA
Abudaqa	NA	NA
Israel-Palestine	31.5	34.75
Shujayea	NA	NA
Khan Yunis	31.34018	34.30627
Mawasi	32.48133	68.85529
Wadi Gaza	15	21.5
Bosnia	44	18
Sri Lanka	7.75	80.75
the Republic of South Africa	44.68418	-122.78435
Columbia	4	-73.25
Chile	-30	-71
Chile’s	NA	NA
Santiago	-33.45694	-70.64827
Taiz province	13.5	44
Al-Bayda	13.98523	45.57272
Ashdod	31.79213	34.64966
Hebrew	NA	NA
X.	19.22364	-70.53051
Spain	40	-4
Madrid	40.4165	-3.70256
Oman	21	57
The United Arab Emirates	45.16002	-121.16778
Charleston	32.77632	-79.93275
Geneva	46.20222	6.14569
Al-Aqsa	31.78961	35.74988
Zawayda	NA	NA
Beit Hanoon	31.5353	34.53579
Serbia	44.81892	20.45998
Bosnia-Herzegovina	44.25	17.83333
Srebrenica	44.10748	19.29669
Bani Suheila	31.34337	34.32337
Caesarea	38.73222	35.48528
Kefar Sava	32.175	34.90694
Rehovot	31.89421	34.81199
Beersheba	31.25181	34.7913
Kiryat Shmona	33.20733	35.57212
the Blue Line	34.73897	-85.77997
Baghdad	33.34058	44.40088
Middle Eastern	33.13906	35.85869
Welch’s	NA	NA
the Global South	40.04866	-90.20842
The Gaza Strip	-26.25	28
@NaksBilal	NA	NA
the Gaza Strip	36.11479	-115.17281
Beit Lahiya	31.5464	34.49514
El Amal City Hospital	32.893	0.54839
Iraq’s	NA	NA
Maroun El Ras	33.10381	35.4444
Rmeish	NA	NA
Miraj	16.8671	74.70146
Tal al-Hawa	36.74833	42.30685
@zarahsultana	NA	NA
Gisha	-1.744	29.9586
Bani Naim	15.88333	43.78333
Raanana	32.1836	34.87386
Sderot	31.525	34.59693
Nir Am	31.51959	34.58006
Mefalsim	31.50125	34.5637
Hanita	33.08746	35.17364
Mattat	33.04134	35.35858
Margaliot	NA	NA
Adamit	33.07971	35.21103
Zar’it	NA	NA
Malkia	60.75482	24.06197
Herzegovina	43	17.83333
Montenegro	42.75	19.25
Yugoslavia	44	19.75
Moscow	55.75222	37.61556
Pretoria	-25.74486	28.18783
Mozambique	-18.25	35
United States’	39.76	-98.5
The Red Sea	-20.03085	45.695
Bulgaria	42.66667	25.25
Shadi’s	NA	NA
Ebel el-Saqi	33.35667	35.62639
Panjgur	26.75	64
the Sistan-Baluchestan province	40.98975	27.96055
the Islamic Republic of Iran	42.46945	-98.68759
Ocean Jazz	-10	70
the Cape of Good Hope	37.00724	-75.98329
al-Walaja	30.52183	31.29729
Gilo	-7.45	-40.83333
Har Gilo	31.72119	35.1724
Singapore	1.36667	103.8
Ras Issa	34.11528	35.72278
Hodeidah province	20.75	-75.91667
Dearborn	42.32226	-83.17631
Michigan	44.25029	-85.50033
Mackinac Island	43.68897	-70.2331
Great Lakes	26.50687	127.94581
Lake Michigan	44.00778	-86.75698
Texas	31.25044	-99.25061
Beit Nabala	31.5464	34.49514
Idlib	35.93062	36.63393
Riyadh	24.68773	46.72185
Alborz	36.01117	50.80956
Southern Africa	-27.11781	22.28027
Bab al-Mandeb	12.60416	43.33557
Venezuela	8	-66
Hormuz	27.5026	54.2839
the Arabian Gulf	27	51
Dublin	53.33306	-6.24889
Al Rayyan	25.29194	51.42444
Qatar’s	NA	NA
Cape Town	-33.92584	18.42322
South Africansfrom	38.02807	-97.94033
Africa4Palestine	NA	NA
Western Cape province	40.64575	-79.91382
Chicago	41.85003	-87.65005
Cyprus	35.00304	32.98791
Akrotiri	36.35796	25.3976
Limassol	34.68406	33.03794
Pashias	NA	NA
Anadolu	39	35
Nevatim	31.22417	34.88098
the Republic of Cyprus	-35.2715	147.07532
Dhekelia	35.01667	33.775
USA	39.76	-98.5
al-Saftawi	29.07694	48.08389
Detroit	42.33143	-83.04575
Southeast Michigan	43.96102	-83.71087
Arab America	25	45
Jarrah	24.05	54.1
Wayne County	-36.75	175
Minnesota	46.25024	-94.25055
Scotland	56	-4
Ireland	53	-8
#October7	NA	NA
Entebbe, Uganda	0.05621	32.47949
Sierra Leone	8.5	-11.5
DRC	-17.98192	20.76806
@adoniaayebare	NA	NA
Hague	52.51118	-106.41859
Dahiyeb	NA	NA
Aroura	38.92219	-111.93409
al-Arouri	29.07694	48.08389
Salem	44.9429	-123.0351
Copenhagen	55.67594	12.56553
Tunisia	34	9
Syria’s Aleppo	NA	NA
Mariupol	47.09514	37.54131
the Indian Ocean	57.05838	-3.7259
Israel's	31.5	34.75
the Golan Heights	40.11286	-74.047
Kanaker	40.22302	44.53986
Sarit	35.47569	71.45229
Aleppo	36.20124	37.16117
Jordan’s	NA	NA
al-Tanf	30.05	39.6
the Hashemite Kingdom of Jordan	25.7251	-80.24283
the Jordan River	18.25706	-78.14275
@Palestine_UN	NA	NA
India’s Basmati	NA	NA
North America	46.07323	-100.54688
Central Gaza Strip	-2.02107	24.69727
Earth	0	0
al-Amal	29.07694	48.08389
al-Nasser	13.62793	25.34936
al-Katiba	23.76556	57.2525
Tel Aviv’s	32.08088	34.78057
Rohtak	28.89447	76.58917
Haryana	29.25	76.33333
Uttar Pradesh	27.25	80.75
Lucknow	26.83928	80.92313
UP	43.62841	6.22477
Bihar	25.75	85.75
West Bengal	19.38333	-71.21667
@Benarasiyaa	NA	NA
Haryana’s Panipat	NA	NA
Thailand	15.5	101
Haryana’s Jind	NA	NA
Al Maniya	41	20
Egypt’s	NA	NA
the Bab al-	-34.43943	143.14742
Mandeb Strait	4	100
al-Mazraa Asharqiya	30.50316	47.81507
Harvey	41.61003	-87.64671
Tawfiq	33.01842	44.38071
al-Mazra’a Asharqiya	30.50316	47.81507
Hamoud	15.64004	-11.51864
Taalbaya	NA	NA
Rashidiya	25.22499	55.38947
Karem Abu Salem	30.486	31.60823
Kerem Shalom	31.22777	34.28459
Estonia	59	26
Indonesia	-5	120
Kampala	0.31628	32.58219
Uganda’s	NA	NA
Peru	-10	-75.25
Colombia	4	-73.25
South Sudan	7.5	30
Swaziland	-26.5	31.5
#RedSea	NA	NA
China’s	NA	NA
Bern	46.94809	7.44744
Zurich	47.36667	8.55
Arura	9.8694	76.30498
Beruit	NA	NA
Hezbollah’s	NA	NA
Deir Qaddis	35.33588	40.14084
MoTaz	NA	NA
@azaizamotaz9	NA	NA
Israel’s Haifa	NA	NA
Dubai	25.07725	55.30927
Yemen’s southern coast	NA	NA
Egypt’s Sinai Peninsula	NA	NA
Philadelphi	NA	NA
Dahiya	8.0264	80.533
Jama’a Islamiya	NA	NA
The Islamic Republic	42.72	-71.1925
Cameroon	6	12.5
al-Ahli	29.07694	48.08389
Des Moines	41.60054	-93.60911
Iowa	42.00027	-93.50049
Cedar Rapids	42.00833	-91.64407
Iowa City	41.66113	-91.53017
South Asia	21.28937	78.66211
Florida	28.75054	-82.5001
New York’s Ellis Island	29.80929	-89.70759
Ohio	40.25034	-83.00018
Czech Republic	49.75	15
Hungary	47	20
Slovenia	46.08333	15
@carogennez	NA	NA
Belgium’s	NA	NA
Flanders	51	4.5
Wallonia	50.5	4.75
Gaza city	31.50161	34.46672
West Bank’s	19.38333	-71.21667
Supernova	NA	NA
Syria’s Damascus	NA	NA
Syria’s	NA	NA
Borj el Barajneh	33.84347	35.49874
Tel Israel’s	32.65627	35.30216
Libya	28	17
Rwanda	-2	30
East Timor	-8.83333	125.75
Kabul	34.52813	69.17233
az-Zahra	29.27524	47.99567
Hamad	31.40307	48.45684
the State of Qatar	-33.21645	146.45597
QFFD	NA	NA
Aizawl	23.72894	92.71791
Manipur	25	94
Kangpokpi	25.15114	93.9695
Mizoram	23	93
Mizoram’s	NA	NA
the Kingdom of Judah	-33.21645	146.45597
the Bnei Menashe	40.11286	-74.047
Kolasib	24.22388	92.67869
Beit Shemesh	31.73072	34.99293
Santa Clara	22.40694	-79.96472
Moldova	47.25	28.58333
Ansarallah	NA	NA
Mediterranean’s	NA	NA
Eurasia	87	80
Heliopolis	36.50361	7.44278
al-Fawakhir	29.0825	48.13028
Levant	34	36
Gaza City’s Zeitoun	35.65832	65.18016
the Old City of Gaza	13.75398	100.50144
Mecca	21.42664	39.82563
Gaza’s Daraj	NA	NA
Al-Masjid al-Omari al-Kabir	31.4294	47.20355
Byzantium	41.01384	28.94966
the Via Maris	-34.5652	142.4346
Anthedon	38.49842	23.44886
Balakhiyah	NA	NA
Tida	31.24415	30.83845
Tell el-Ajjul	33	35.16667
Calves Hill	42.27426	-71.32284
Daraj	33.24567	59.54541
Ahmadiyyah Zawiya	NA	NA
the Eastern Mediterranean	41.88445	-91.71073
Gaza‘s	NA	NA
@TomWhiteGaza	NA	NA
Netivot	31.42305	34.58911
Bab-el-Mandeb strait	12.60416	43.33557
Eilat	29.55805	34.94821
Dead Sea	44.86777	-73.62391
Eastern Mediterranean region	39.42657	41.23464
al-Karama	26.22787	50.58565
Paltel	32.08712	35.18388
Jawwal	NA	NA
Syria’s Golan Heights	36.28562	-92.26543
Kurdistan	37	44
Panjgur, Pakistan’s Balochistan province	NA	NA
Bahaa el-Din Abu Ras	32.32973	62.08171
Dura	28.8	49.23333
Bahaa’s	NA	NA
Maldives	3.2	73
@RepJayapal	NA	NA
@RepCori	NA	NA
@BasedMikeLee	NA	NA
the Republic of Korea	45.16002	-121.16778
Kosovo	42.58333	20.91667
PA	12.66667	-3.95
Oslo	59.91273	10.74609
